Scene ID,Setting Name,Narrative Weight,Description,Source File
Ch01_Besiktas_Coast,İstanbul: Beşiktaş: Beşiktaş Sarayı Önü,High,"The three men stand by the Bosphorus shore, watching Allied warships pass through. They meet an Anatolian soldier with a war medal. They hold hands and share a deep, silent connection of sacrifice, which makes Peyami feel like an outsider.",chapter_01.md
Ch01_Cebeci_Hospital,Ankara: Cebeci: Cebeci Hastanesi,High,"Peyami writes his memoirs while looking out the window at the red sky and yellow earth, reflecting on his lost legs and head wound, and discussing his condition with his doctor. | Salim carries the legless Peyami to a stretcher placed in the sunny stone corridor, where Peyami sleeps and reflects on his memories.",chapter_01.md
Ch01_Mercan,İstanbul: Fatih: Mercan,High,"Fleeing the British plane bombings, the crowd rushes down the slope. A massive bomb explosion occurs. Peyami leans frozen against a shop as casualties fall around him, while Cemal and İhsan bravely help a wounded hamal and a child.",chapter_01.md
Ch01_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,High,"Peyami paces around restlessly after learning about the Bulgarian Armistice. Cemal arrives, kisses Peyami's mother's hand, and they discuss their family and İzmir. Later, this salon becomes a center for nationalist propaganda meetings, where Salime Hanım passionately debates.",chapter_01.md
Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,High,"İhsan enters Peyami's bedroom early in the morning to break the tragic news of the massacre in Izmir, including the deaths of Mukbil Bey and Hasan, and Ayşe's injury. Later, Cemal's bed is moved here, where Peyami watches over him in his silent grief. | Peyami rushes downstairs after hearing the tragic news to avoid Cemal. Later, he goes downstairs repeatedly to find his mother crying and İhsan waiting silently like they are at a wake. | A gathering takes place where Salime Hanım, Mister Cook (an arrogant British journalist), Miralay Haşmet Bey, and other officers discuss the political climate. Ayşe passionately defends the Turkish nation, detailing the atrocities in Izmir and rejecting British patronization. Following her speech, the moved Turkish officers pledge their swords and lives to her cause.",chapter_02.md
Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,High,"The group gets off the tram at Ayasofya and struggles to push through the immense, emotional crowd moving towards Sultanahmet. | The historical Sultanahmet Mitingi (Rally) takes place. Standing on the steps of the German Fountain, Peyami, Cemal, and Ayşe witness the sea of crying citizens, black flags, wounded veterans, and speeches protesting the occupation. Aircraft fly overhead, and Ayşe weeps bitterly.",chapter_02.md
Ch03_Ayses_House_Gedikpasa,İstanbul: Gedikpaşa: Ayşe'nin Evi,High,"Ayşe moves to a modest two-room house in Gedikpaşa, living a simple and hardworking life knitting and teaching. Peyami visits her here every evening, and İhsan frequently joins them, harborning a quiet, intense love for Ayşe. | Peyami finds İhsan and the formidable Haşmet Bey at Ayşe's house. They discuss the imminent threat of British occupation in Istanbul and map out plans for İhsan to escape by land to Adapazarı to join the nationalist resistance. | Peyami and İhsan return to Ayşe's house late at night for a heavy, solemn farewell. Ayşe expresses deep sadness over İhsan's departure for the front lines, leaving everyone feeling anxious and melancholic.",chapter_03.md
Ch03_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,High,"Peyami's mother discusses her fears and complains about Ayşe's presence bringing British surveillance. When Ayşe enters the room, she and İhsan share a profound and silent emotional connection upon seeing each other again.",chapter_03.md
Ch04_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,High,"Peyami suffers from typhus, hallucinates, and recovers. He sends Ahmed Ağa to find Ayşe, receives her letters, and writes a desperate reply.",chapter_04.md
Ch04_Uskudar,İstanbul: Üsküdar: Seyfi's House,High,"Ayşe meets Mülâzım Seyfi, who helps her carry her bundle and guides her to safety. | A yellow wooden house near a cemetery where Ayşe hides, hosts nationalist conspirators, and is eventually reunited with Peyami to plan their escape. | Peyami wanders searchingly through shady alleys and neighborhoods, looking under the veils of women to find Ayşe. | Peyami spots Seyfi in a kalpak and intercepts him to find out where Ayşe is hidden.",chapter_04.md
Ch05_Adapazari_Road,Sakarya: Adapazarı: Adapazarı Yolu,High,"Kafilenin geçişi sırasında pusu kurulur ve ateş açılır. Ahmed Rıfkı ve çetesi kayaların arkasına sığınarak çatışmaya girer. Çatışma sonrası düşman kaçar, bacağından vurulan bir müfreze üyesinin yarasını Ayşe pansuman eder.",chapter_05.md
Ch05_Adapazari_Road_Coffeehouse,Sakarya: Adapazarı: Adapazarı Yolu Üzerindeki Kahvehane,High,"Karanlık ve küf kokulu bu yerde mola verilir. Seyfi ve çavuş milis güçlerinin yetersizliğini tartışırken gerginlik yaşanır. Ardından İhsan atlılarıyla gelir, Ayşe'nin ellerini öper ve onun güvenliği için Adapazarı yerine Doğançay'a gitmeye karar verirler.",chapter_05.md
