Scene ID,Setting Name,Latitude,Longitude,Primary Theme,Theme Justification
Ch10_Headquarters_Village,Ankara: Polatlı: Alagöz (Karargâh Köyü),39.58567,32.1417303,Logistics & Movement,"The scene vividly depicts the tireless work of military personnel, from the Commander-in-Chief to junior officers, in planning, directing, reporting, and ultimately relocating the headquarters amidst the active Sakarya Campaign."
Ch10_Ihsans_Tent,Ankara: Polatlı: Alagöz Karargâhı: İhsan'ın Çadırı,39.58567,32.1417303,Logistics & Movement,"The scene describes characters at military headquarters receiving incoming reports and joyously packing up, which points to operational planning, communication, and preparation for movement."
Ch10_Train_Compartment,Ankara: Polatlı: Tren Kompartımanı,39.58567,32.1417303,Logistics & Movement,"The scene focuses on the physical transportation of officers, soldiers, and ammunition by train towards the front line, and the narrator's desire to transfer there, emphasizing the movement of personnel and supplies."
Ch11_Gokcepinar,Ankara: Polatlı: Gökçepınar,39.58567,32.1417303,Romance & Tragedy,"The central action of the scene is İhsan's intense jealousy upon seeing Ayşe's proximity to Haşmet Bey, alongside Ayşe avoiding İhsan's gaze, which points to a clear romantic conflict."
Ch11_Haymana,Ankara: Haymana: Haymana Camii,39.4341352,32.4987922,Combat & Violence,"The scene is saturated with the immediate, horrific aftermath of battle, focusing on critically wounded soldiers, their intense suffering, and the urgent, tireless efforts to treat combat injuries amidst a dangerous, active conflict zone."
Ch11_Ihsans_Tent,Ankara: Polatlı: Alagöz (Tatar Köyü): İhsan'ın Odası,39.58567,32.1417303,Romance & Tragedy,"The scene focuses on the emotional tension arising from engagement rumors, Ayşe's reaction to them, and İhsan's angry demand regarding her placement, indicating a conflict rooted in personal relationships and potential heartbreak."
Ch11_Madam_Tadias_Hotel,Eskişehir: Merkez: Madam Tadia'nın Oteli,39.7743941,30.519116,Romance & Tragedy,"The scene's core revolves around Ayşe's intimate care for İhsan, his passionate confession of love, and their mutual promise of marriage, all indicative of a deep romantic connection."
Ch11_Mobile_Hospital,Ankara: Polatlı: Seyyar Hastane (Ayşe'nin Çadırı),39.58567,32.1417303,Romance & Tragedy,"The scene focuses on İhsan's attempt to confront Ayşe about their romantic feelings, which is met with Ayşe's assertion that their time for such talk has passed, signifying a tragic end to their potential romance."
Ch11_Mountain_Path,Ankara: Polatlı: Dağ Yolu,39.58567,32.1417303,Romance & Tragedy,"The scene's central action is İhsan's deep confession of a 'feverish obsession with Ayşe,' directly addressing intense romantic feelings and potential tragic implications."
Ch11_Observation_Trench,Ankara: Polatlı: Tepe Üstündeki Gözetleme Siperi,39.58567,32.1417303,Romance & Tragedy,"The scene primarily focuses on İhsan recounting his painful love for Ayşe, deeply moving Peyami Bey with the tragic emotional weight of their shared experience amidst military duties."
Ch11_Train_Compartment,Ankara: Sincan: Tren Kompartımanı,39.9645375,32.5839944,Romance & Tragedy,The scene's core narrative revolves around İhsan's encounter with the crying Ayşe and the romantic complication arising from rumors of his engagement to Sabiha.
Ch11_Village_Entrance,Ankara: Polatlı: Tatar Köyü,39.58567,32.1417303,Logistics & Movement,"The scene's primary action focuses on Peyami Bey's arrival and explicit request for directions to a key location, which is a clear representation of managing travel and navigation."
Ch11_Village_House_Room,Ankara: Polatlı: Köy Evindeki Küçük Oda,39.58567,32.1417303,Combat & Violence,"The scene discusses a transfer to command a regiment and a mutual desire to face danger, directly pointing to readiness for military conflict."
Ch12_General_Hospital,Ankara: Cebeci: Cebeci Hastahanesi,39.9327342,32.8746726,Combat & Violence,"The scene focuses on Peyami Bey's severely wounded state, the impending brain surgery, and his dictation of a final will, all direct consequences of severe physical trauma."
Ch12_Karadag,Ankara: Polatlı: Karadağ,39.58567,32.1417303,Combat & Violence,"The scene vividly describes a brutal night battle involving heavy casualties, fierce hand-to-hand combat, soldiers getting shot, and a bayonet charge to seize a strategic peak."
Ch12_Mobile_Hospital,Ankara: Polatlı: Seyyar Hastane (Ayşe'nin Çadırı),39.58567,32.1417303,Romance & Tragedy,"The scene centers on Peyami's deep feelings for Ayşe, her tragic death by artillery fire while caring for wounded soldiers, and İhsan's poignant demise in Peyami's arms, highlighting profound loss and emotional devastation."
Ch12_Regiment_Dressing_Station,Ankara: Polatlı: Karadağ: Alay Sargı Mahalli,39.58567,32.1417303,Combat & Violence,"The scene explicitly describes a character being wounded by a shell and commanders preparing for an imminent military assault, directly highlighting the presence and impact of armed conflict."
Ch12_Village_Cemetery,Ankara: Polatlı: Basri Köyü Mezarlığı,39.58567,32.1417303,Ideology & Politics,"The burial of Ayşe and İhsan, with their bodies wrapped in Turkish flags, clearly signifies a nationalistic context and the ideological implications of their deaths."
Ch13_Cebeci_Hospital,Ankara: Cebeci: Cebeci Hastahanesi,39.9327342,32.8746726,Romance & Tragedy,"The scene culminates in Peyami's tragic death during surgery and the doctors' revelation that his literary companions, central to his narrative 'Ateşten Gömlek', were merely an illusion caused by his brain injury, highlighting a profound personal tragedy."
Ch01_Besiktas_Coast,İstanbul: Beşiktaş: Beşiktaş Sarayı Önü,41.0428465,29.0075283,Ideology & Politics,"The scene focuses on the characters' shared patriotic grief and outrage over Allied warships passing through the Bosphorus, symbolizing national defeat and the sacrifice made to defend the nation's sovereignty."
Ch01_Cebeci_Hospital,Ankara: Cebeci: Cebeci Hastanesi,39.9327342,32.8746726,Combat & Violence,"The scene focuses entirely on Peyami's severe physical injuries—amputated legs and a bullet wound causing hallucinations—as a direct consequence of violence, highlighting his struggle with recovery and memories of combat."
Ch01_Mercan,İstanbul: Fatih: Mercan,41.0142,28.9664,Combat & Violence,"The scene vividly depicts a British air raid, focusing on bomb explosions, widespread casualties, and characters reacting to the direct violence of war."
Ch01_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,41.0637891,28.9831642,Ideology & Politics,"The scene is centered around the impact of the Bulgarian Armistice and the transformation of the salon into a hub for nationalist propaganda and political debates, driven by Salime Hanım's anti-Unionist speeches."
Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,41.0637891,28.9831642,Ideology & Politics,"The scene revolves around the aftermath of a massacre, which serves as a catalyst for a gathering where national sovereignty is debated, colonial attitudes are challenged, and Turkish officers pledge loyalty to their nation's cause."
Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,41.0082,28.9784,Ideology & Politics,"The scene describes a massive national rally protesting occupation, featuring impassioned speeches, national symbols, and collective emotional solidarity centered on a shared political ideology and struggle."
