Character Name,Scene ID,Setting Name (Location),Action Summary,Anchor Quote
Peyami Bey,Ch01_Cebeci_Hospital,Ankara: Cebeci: Cebeci Hastanesi,Peyami Bey is writing down his memories while recovering at Cebeci Hospital in Ankara with amputated legs and a bullet wound in his head.,Şimdi Ankara Cebeci Hastahanesi'nin küçük bir odasından dışarıya bakıyorum.
Peyami'nin Neferi,Ch01_Cebeci_Hospital,Ankara: Cebeci: Cebeci Hastanesi,"Salim, Peyami's loyal soldier, comforts him, wraps him in blankets, and helps him go outside to the corridor.","Salim çocuk gibi beni hırkaya, battaniyeye sardı; başımda bir lâmba, elimde defterim var, tuhaf bir sükûn duyuyor ve düşünüyorum."
Doktor,Ch01_Cebeci_Hospital,Ankara: Cebeci: Cebeci Hastanesi,The doctor notes that the bullet in Peyami's head is causing hallucinations and advises him to write to his family in Istanbul.,Doktor ne dedi? Başımdaki kurşun bende hayalât yapıyormuş.
Peyami'nin Annesi,Ch01_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,Peyami's mother reacts with visible irritation in her Europeanized salon when Peyami ignores her announcement regarding the Bulgarian armistice.,"Annem, benim Bulgar Mütarekesi'ni dinlemediğimi görünce somurtkan, sigarasını yaktı."
Katina,Ch01_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,Katina serves coffee to Peyami and announces the arrival of Binbaşı Cemal at the house.,"ve o zaman Katina, kahve ile beraber Cemal'in geldiğini haber verdi."
Binbaşı Cemal,Ch01_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,"Binbaşı Cemal arrives at his aunt's house in Şişli after his military travels, kisses her hand, and squeezes Peyami's hand with unexpected strength.",Cemal annemin elini öptü.
Peyami Bey,Ch01_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,"Peyami Bey paces around his mother's salon in Şişli, feeling deeply unsettled by the news of the Bulgarian armistice.","Yalnız annemin alafranga salonunda eşyanın yerini bozacak kadar yerimi değiştirdim, dolaştım."
Salime Hanım,Ch01_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,"Salime Hanım holds vehement anti-Unionist propaganda speeches in the salon, threatening to burn the Pashas and establish gallows.","Sizin Paşanızın sakalından tutup, direğe bağlayıp diri diri yakacağız, sizin beylerin azalarını birer birer koparacağız, hele sizin Paşa yok mu, ağzına kurşun akıtacağız."
İhsan,Ch01_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,İhsan joins the propaganda meetings in the salon but remains completely indifferent to Salime Hanım's explosive speeches.,"Beni ve İhsan'ı lâkayd bırakan Salime Hanım'ın, Cemal'e azim bir tesiri oldu."
Peyami Bey,Ch01_Meserret_Cafe,İstanbul: Fatih: Sirkeci: Meserret Kıraathanesi,Peyami Bey regularly meets Cemal and other military officers at the Meserret Cafe after leaving his job at the Foreign Ministry.,"Her gün o dörtten sonra Hâriciyye'nin kapısından beni alıyor. Meserret Oteli'nin altındaki kırâathâneye gidiyor, orada onun zâbit arkadaşlarıyla buluşuyorduk."
Binbaşı Cemal,Ch01_Meserret_Cafe,İstanbul: Fatih: Sirkeci: Meserret Kıraathanesi,Binbaşı Cemal meets with Peyami Bey and his fellow officer friends daily at the Meserret Cafe to discuss political affairs.,"Her gün o dörtten sonra Hâriciyye'nin kapısından beni alıyor. Meserret Oteli'nin altındaki kırâathâneye gidiyor, orada onun zâbit arkadaşlarıyla buluşuyorduk."
Yüzbaşı Seyfi,Ch01_Meserret_Cafe,İstanbul: Fatih: Sirkeci: Meserret Kıraathanesi,"Yüzbaşı Seyfi heatedly argues in the cafe that Turkey will still win the war, passionately recounting the heroic struggles of Çanakkale and the desert.","Seyfi isminde ateşli bir yüzbaşı hâlâ harbi kazanacağımızı iddia ediyor, hep Çanakkale'nin ve Çöl'ün harikulâde kahramanlıklarını anlatıyordu."
