Scene ID,Broader Region,Hierarchical Name,Justification,Supporting Quote,Doubts,Latitude,Longitude
Ch10_Headquarters_Village,Ankara: Polatlı,Ankara: Polatlı: Alagöz (Karargâh Köyü),"The text describes the narrator departing from Ankara Station by train and arriving at the Garp Cephesi (Western Front) and Başkumandanlık headquarters during the Battle of Sakarya ('İşte Sakarya'yı idare eden ilk tarihî nokta'). Historically, this headquarters was located in Alagöz Village (a small settlement/farmhouse) in the Polatlı district of Ankara. The text also mentions nearby battlefront locations such as Haymana, İnler, and Katrancı.","Nihayet birkaç sırt vadi dolaştıktan sonra yumuşak inhinalarla yükselen yamaçlar ortasında bir köycüğe geldik. Bunun sadece bir çiftlik olduğunu, beş altı evden ibaret bulunduğunu söylediler.","The name of the village (Alagöz) and the district (Polatlı) are not explicitly named in the text, but they are historically and geographically identical to the described Garp Cephesi headquarters during the Sakarya Campaign.",39.58567,32.1417303
Ch10_Ihsans_Tent,Ankara: Polatlı,Ankara: Polatlı: Alagöz Karargâhı: İhsan'ın Çadırı,"The narrator travels from Ankara train station to the Garp Cephesi (Western Front) headquarters, described as a small farm with 5-6 houses where the Commander-in-Chief resides during the Battle of Sakarya ('Sakarya'yı idare eden ilk tarihî nokta'). Surrounding villages and districts such as Haymana, İnler, Katrancı, Çambaklı, and Toydemir are mentioned, which are located in the Polatlı/Haymana region of Ankara. Historically, this site refers to the Alagöz Headquarters (Alagöz Karargâhı) in Polatlı.","Ankara İstasyonu'ndan gece dokuzda hareket ettim... Bunun sadece bir çiftlik olduğunu, beş altı evden ibaret bulunduğunu söylediler... İşte Sakarya'yı idare eden ilk tarihî nokta.","The text does not explicitly mention the names 'Alagöz' or 'Polatlı', though 'Haymana' is mentioned as one of the nearby fronts. The identification of the Polatlı district is based on historical geography of the Sakarya battle headquarters.",39.58567,32.1417303
Ch10_Train_Compartment,Ankara: Polatlı,Ankara: Polatlı: Tren Kompartımanı,"The narrator departs from Ankara Station by train and heads to the Sakarya front line. The second headquarters is established inside train cars ('vagonlar'). The chapter mentions key strategic locations of the Battle of Sakarya such as Haymana, Toydemir, İnler, and Katrancı, placing the setting in the Polatlı-Haymana region of Ankara, where the mobile train headquarters of the Western Front was historically located.",Ankara İstasyonu'ndan gece dokuzda hareket ettim. [...] Gece ikinci karargâhımız olan vagonlara yerleştiğimiz zaman Zihni Efendi ile yalnız kalmak için yanıyordum.,"The novel does not explicitly name 'Polatlı' as the specific station where the train-car headquarters is located, but the reference to the surrounding Sakarya battlegrounds (like Toydemir, Katrancı, Haymana) and the historical context of the Garp Cephesi Karargâhı clearly points to Polatlı, Ankara.",39.58567,32.1417303
Ch11_Gokcepinar,Ankara: Polatlı,Ankara: Polatlı: Gökçepınar,"The text mentions that after the Battle of Eskişehir, the army took positions east of the Sakarya River ('Sakarya'nın şarkında mevzi aldı') and Haşmet Bey's division was located in Gökçepınar. Historically, Gökçepınar is a village in the Polatlı district of Ankara, which served as a crucial front during the Battle of Sakarya.","Nihayet öğrendim. Gelmişti, fakat seyyar kolordu karargâhından hayli uzaktı. Haşmet Bey fırkasının yanında Gökçepınar'da bulunuyordu.","Although Gökçepınar is explicitly named, its administrative association with the Polatlı district of Ankara is not explicitly spelled out in the same sentence, though it is clearly implied by the context of the Sakarya campaign and mentions of nearby Haymana.",39.58567,32.1417303
Ch11_Haymana,Ankara: Haymana,Ankara: Haymana: Haymana Camii,"The text explicitly places the scene in Haymana, describing it as a massive casualty clearing station during the war. It details İhsan entering the Haymana Mosque (Haymana Camii), which is being used as a hospital, and finding Ayşe there tirelessly treating wounded soldiers.","Harbin en sıkışmış dakikalarında bir akşam kumandanla Haymana'ya gittik. Haymana, muazzam bir hastahane hâlini almıştı. [...] Nihayet Haymana Camii'nin önüne geldim. Orası da bir nevi ""sevk-i mecrûhîn hastahanesi"" hâline gelmiş.","None. Haymana is a well-known district of Ankara, and both the district name and the specific mosque (Haymana Camii) are explicitly stated in the text.",39.4341352,32.4987922
Ch11_Ihsans_Tent,Ankara: Polatlı,Ankara: Polatlı: Alagöz (Tatar Köyü): İhsan'ın Odası,"The scene is set in a village described as a 'Tatar village' (Tatar köyü) where the army corps headquarters (Kolordu Karargâhı) is located during the Sakarya campaign. Based on the surrounding geographical references (Sincan, Mallı/Malıköy, Polatlı, Haymana) and the historical context of the Battle of Sakarya, this corresponds to Alagöz village in Polatlı, Ankara, which served as a military headquarters and is historically a Tatar village.",Sağda köy evleri ile muhât müstakil bir meydana girdim. Burası bir Tatar köyü idi.,"The chapter does not explicitly name the 'Tatar village' (it only refers to it as 'Burası bir Tatar köyü idi'), but geographical coordinates of the Sakarya campaign and references to Polatlı, Mallı, and Haymana strongly imply it is Alagöz in Polatlı, Ankara.",39.58567,32.1417303
Ch11_Ihsans_Village_Room,Not Found,Not Found: İhsan'ın Köydeki Odası,"The scene takes place in İhsan's room in a unnamed Tatar village which serves as the headquarters of a corps under the Western Front during the Turkish War of Independence. Although several locations like Ankara, Polatlı, Haymana, and Eskişehir are mentioned in İhsan's flashback narrative, the current geographical location of this specific Tatar village is not explicitly named.",Burası bir Tatar köyü idi. [...] İhsan'ı küçük köy odasında bir tahta masaya eğilmiş buldum.,"The chapter places the current scene in a 'Tatar village' where the corps headquarters is based during the campaign following the Battle of Sakarya, suggesting it is located somewhere in the Ankara, Polatlı, or Eskişehir region, but the text never explicitly names the province or district.",,
Ch11_Madam_Tadias_Hotel,Eskişehir,Eskişehir: Merkez: Madam Tadia'nın Oteli,"The scene takes place in Madam Tadia's Hotel (Madam Tadia'nın Oteli). In the text, İhsan is wounded at Metris Tepe (İnönü) and brought to a hospital nearby. Due to lack of space, he is transferred to Madam Tadia's Hotel. Historically, Madam Tadia's Hotel was a highly famous establishment located near the train station in Eskişehir. This is reinforced later in the chapter when Cemal mentions visiting Eskişehir and notes that Haşmet Bey was treated in the very same room at Madam Tadia's Hotel where İhsan had stayed.",Beni hastahanede yer olmadığı için Madam Tadia' nın otelindeki küçük odaya naklettiler.,"The text does not explicitly write 'Eskişehir' in the very same sentence as 'Madam Tadia'nın oteli', but the geographic context of Metris Tepe, Geyve, and Cemal's subsequent references to Eskişehir and the hotel make the location historically and contextually certain.",39.7743941,30.519116
Ch11_Mobile_Hospital,Ankara: Polatlı,Ankara: Polatlı: Seyyar Hastane (Ayşe'nin Çadırı),The scene takes place at a mobile hospital stationed near the army corps headquarters in a Tatar village during the Sakarya campaign and the Greek retreat. This frontline region east of the Sakarya River historically and contextually locates the headquarters and its mobile hospitals within the Polatlı district of Ankara (near strategic points like Malıköy/Mallı and Polatlı mentioned in the chapter).,"O akşam kolordu karargâhı buraya yerleşmiş ve seyyar da yerine kurulmuştu. Gece yarısına kadar bir deli gibi çalıştıktan sonra saat birde ata atlamış, seyyarı teftişe gitmiştim.","The text does not explicitly name the specific Tatar village where the headquarters and the mobile hospital are currently set up, referring to it only as 'bir Tatar köyü' (a Tatar village) and 'buraya' (here), though the surrounding geography strongly points to the Polatlı district in Ankara province.",39.58567,32.1417303
Ch11_Mountain_Path,Ankara: Polatlı,Ankara: Polatlı: Dağ Yolu,"The scene takes place at a Tatar village where the army corps headquarters (kolordu karargâhı) is established during the Sakarya campaign, right as the Greek retreat ('Yunanlıların ricati') begins. Geographically, this campaign occurred east of the Sakarya River in the Ankara province. Historically, the Western Front and army headquarters were located in Alagöz, a well-known Crimean Tatar village in the Polatlı district of Ankara. The text also mentions nearby regional landmarks like Sincan, Polatlı, and Haymana.","Burası bir Tatar köyü idi. Önlerindeki uzun teraslara kapalı pencerelerden tek tük ışıklar vuruyordu... Yemekten evvel seninle şu dağa doğru gidelim, Peyami.","The text does not explicitly name the Tatar village where the headquarters is currently located. However, the context of the Sakarya Battle, the Greek retreat, and references to nearby Polatlı, Haymana, and Sincan heavily imply the Polatlı district of Ankara (specifically Alagöz village, which served as the headquarters during this historical event).",39.58567,32.1417303
