Name,Ethnicity,Political Stance,Affiliation Quotes,Importance Rank,Description,literary_analysis
Peyami Bey,Turk,Nationalist,"ben Sakarya'da bacaklarını kaybetmiş, kafasından vurulmuş bir askerim. | Ben de, ben de senin için, İzmir için her azam kopuncaya kadar vuruşacağım. | Ayşe ""İzmir Kızı"" unvanını aldığı meşhur günden bir hafta sonra, annem beni ve İhsan'ı yakalamış, bu meseleyi açmıştı. | Ben de tamamen onlarla beraberdim. | Peyami de sizin gibi çarpışmaya, İzmir'i kurtarmaya geldi. | Hiç olmazsa beni de ebediyyen Hâriciyye'nin silik bir kâtibi görmesin. Beni de er ve mert olarak tanısın. | Göreceksin Peyami, bu halkı kendi memleketine sahip edecek yine bizim yaratacağımız ordu olacak. | Seni Eskişehir'e göndereceğim. Fakat bana namusun üzerine bir yemin vereceksin. — Nedir İhsan? | Eskişehir'e trenden inen kolu sargılı adam benim, değil mi? | Bütün varlığımla ileriye atılıyorum, mutlak cepheye gitmek istiyorum. | Beni kolordu emrine veren kâğıtla dörtnala gidiyordum. | her azam parçalanıncaya kadar İzmir için dövüşeceğime yemin ettim. | İhtiyat Mülâzımı Peyami Efendi'nin evrakındaki isimleri tetkik ettim.",5,"Peyami Bey is the narrator of the novel, a Turkish intellectual and former Foreign Ministry official. During the British occupation of Istanbul, he suffers from severe typhus, harbors deep anger against the occupation, and develops a strong desire to fight. He supports Cemal and Ayşe, silently observing the dynamics between Ayşe and İhsan. Joining the nationalist struggle, he escapes to Anatolia with Ayşe and Seyfi to join the fight in Izmir. Transitioning from a desk job to active duty with a wounded arm, he seeks to prove his courage and worth to Ayşe on the battlefields. He coordinates ammunition transport, becomes caught in the tragic conflict involving Kezban and Mehmet Çavuş, and is left deeply traumatized by a terrifying ambush near Konya. As a reserve officer, intelligence officer, and translator/photographer, he eagerly travels to the Sakarya front. There, serving as İhsan's aide-de-camp, he loses his legs and undergoes amputation surgery, becoming a disabled officer deeply in love with Ayşe. Peyami Bey, a reserve lieutenant, ultimately dies from a bullet wound to his brain, with his recorded memories later analyzed by his doctors.","Peyami Bey emerges in Halide Edib's *Ateşten Gömlek* as a complex figure whose initial passivity and intellectual detachment profoundly symbolize the moral and psychological inertia that gripped certain segments of Ottoman society during the Allied occupation. His ""stance of none,"" as a starting point, represents the deep-seated weariness, disillusionment with a crumbling empire, or perhaps a pragmatic skepticism that initially hindered a unified national response. Edib uses Peyami to embody the internal struggle within the Turkish intellectual class—those grappling with a perceived inevitability of defeat, caught between the vestiges of the old order and the radical, uncertain path of fervent nationalism. He serves as a crucial counterpoint to the fierce, immediate patriotism of characters like Ayşe, highlighting the varied emotional and ideological landscapes of a nation on the brink.

Peyami Bey's narrative arc, therefore, becomes a poignant microcosm of Turkey's arduous journey from despair to defiant self-assertion. As the War of Independence unfolds, his initial neutrality is invariably challenged, forcing a confrontation with the brutal realities of occupation and the inspiring, albeit costly, heroism of the resistance. Whether through gradual politicization, personal sacrifice, or a profound internal transformation that aligns him with the cause, his journey mirrors the nation's awakening from a state of suspended animation. His eventual commitment, or perhaps his tragic failure to fully embrace the ""shirt of fire,"" ultimately illustrates the profound personal metamorphosis required to forge a new identity from the ashes of the old, making him a resonant symbol of a nation's soul-searching and its ultimate, agonizing decision to fight for its very existence."
İhsan,Turk,Nationalist,"Üçüncü Ordu'dan, Cemal! | Her azamız kopuncaya kadar İzmir yolunda kılıcımızı kınına koymayacağız. | İhsan bu işi daha asker gözüyle görüyor. — Ancak bunu muntazam bir ordu halleder, diyor. | Seyfi beni Adapazarı civarında dolaşan İhsan'ın yanına bırakır. | İhsan, genç Binbaşı, iki süvarisi ile toz içinde yanmış, yavuzlaşmış, nazik yüzü tamamen hakikatin, korkunç mukavemetin tunç kalıbını almış. | İhsan, Ayşe gittikten sonra hayli suratsız ve sessiz oldu. Fakat faaliyetinde daha kadir, daha korkunç bir reisin tahakkümü vardı. | Ben de ceb-hâneyi haber vermek üzere İhsan'ın karargâhına gidecektim. | İhsan kuvvetleriyle ismini hatırlayamadığım bir nahiye merkezine yakınız. | hele içeri gir bakayım, İhsan ne yapıyor? | Ben, demir gibi şeref ve haysiyete bağlı asker, utanmadan itiraf ederim ki, o bir gün bana ""Muhârebeden kaç!"" diyeydi, beş dakika sonra beynimi kendi elimle parçalamak şartıyla o söyledi diye hatt-ı harbi terk ederdim. | Biz merkezden hücum edeceğiz. İlk ateşte biziz Peyami... | İhsan isminde alay kumandanı yok.",5,"İhsan is an elegant, heroic Turkish officer from Istanbul who served in the Third Army. A close friend and comrade to Peyami and Cemal, he also assists Ayşe and Cemal. İhsan is a deeply patriotic nationalist, intensely dedicated to the cause, and profoundly in love with Ayşe, holding deep respect and a hidden, overwhelming obsession that tortures him. Initially a Major, he coordinates the resistance movement in Adapazarı, leading local forces, where Ayşe and others plan to join him. As a severe and demanding commander of a local nationalist military unit, he balances formal military order with irregular volunteers, puts Peyami through rigorous training, and sends him on dangerous missions. An outgoing Chief of Staff of the Corps, İhsan requests to command an active regiment to be closer to the front lines. He is courageous, leading forces to quell internal rebellions, including the Konya rebellion, surviving an ambush and exacting heavy punishment. As a brave regimental commander, he heroically leads his men to capture Karadağ, where he is mortally wounded during the battle. İhsan is mentioned in Peyami's papers but apparently does not exist in active military records.","In Halide Edib's *Ateşten Gömlek* (The Shirt of Flame), Binbaşı İhsan emerges as an archetypal figure, embodying the initial, visceral defiance against the occupation and the purely military aspect of the national struggle. Narratively, he represents the immediate and compelling call to arms, the charismatic leader who inspires fervent loyalty and hope in a desperate time. His unwavering courage and unyielding resolve on the battlefield make him the symbolic 'sword' of the nascent Turkish independence movement. For Ayşe, the protagonist, İhsan is initially the embodiment of a heroic ideal—a powerful, decisive protector against the encroaching foreign powers. His narrative function is to illustrate the sheer necessity of physical resistance and the self-sacrificing spirit required to confront an overwhelming foe, galvanizing not just the characters within the novel, but implicitly, the nation itself. He is the personification of the raw, undiluted patriotism that fuels the early, more romanticized phase of the revolution.

İhsan's ultimate arc, culminating in his heroic death in battle, serves as a profoundly resonant symbol for the cost and nature of the Turkish War of Independence. His demise represents the tragic but necessary sacrifice of the nation's finest, a testament to the brutal reality that liberation demands the ultimate price from its most dedicated sons and daughters. Symbolically, his death signifies the passing of an initial, perhaps more idealistic or purely militaristic, phase of the struggle. While his courage is foundational, his inability to survive suggests that the path to true independence requires more than just battlefield heroism; it necessitates endurance, intellectual resilience, and perhaps a more complex, less purely romanticized vision of nationhood that can outlast the initial fervor. İhsan's heroic sacrifice thus etches into the narrative the unsparing demands of freedom, cementing his legacy as a vital, albeit ephemeral, ideal that lights the path for future generations, even as the struggle itself evolves beyond his initial, powerful embodiment."
Ayşe,Turk,Nationalist,"Adı Ayşe olan İzmirli bir kız. | İngilizler aflarını talep edenlere versinler Mösyö, affı zalimler değil, mazlumlar verir. Çanakkale'de dövüşürken ne asi ne esirdik. Namuslu bir millet gibi dövüştük, öldük, öldürdük. | Ayşe, halk ihtilâline ümidini bağlamıştır. Dağlarda dövüşen efelerini, genç İzmirlileri çok seviyor. | Ayşe'nin, Türk'ün zalimlerine isyan etmiş bir kadın olduğunu, İzmir felâketini anlattım. | Ayşe İzmir mücadelesinin mukaddes bir alâmeti oluyordu. | Ayşe'nin gidişi bende garip bir hürriyet hissi uyandırdı. Anladım ki hakikat Anadolu'ya yalnız Ayşe'nin yanında bulunmak, ona bir nevi ağabeylik, bekçilik vazifesi etmek için gelmedim. | Söğütlerin gölgesi arasından Ayşe'nin küçük hastahanesi görününce kalbim birdenbire atmaya başladı. | hâlâ harb eden Ayşe Çavuş | Bu hâdiseden Ayşe Hanım'a bahsetmeyeceksin. | Ayşe'yi beyaz önlüğü, siyah baş örtüsüyle hastahane kapısında buldum. | onun sandalyesinin etrafında yemin edenlerin ister şehit, ister gazi, öyle şiirli ve yaldızlı kahramanlık destanları oldu ki... | İzmir'e girdikten ve Akdeniz'in kıyılarında yeşil İzmir için akan kanları tesit ettikten sonra istediğin zaman seninle evlenirim. | Yunanlılar hakikat ricat ediyorlar, değil mi Peyami? | Ayşe isimli bir hemşire hiçbir kolordu seyyarında çalışmamış",5,"Ayşe is Cemal's sister and Peyami's green-eyed cousin, married to Mukbil Bey. Originally from Izmir, she fled to Istanbul after Greek forces killed her husband and child, becoming known as the ""Girl of Izmir"" and a symbol of national tragedy. In Gedikpaşa, she lived in a simple two-room house, knitting and giving lessons while acting as a strong-willed liaison for the Nationalist resistance and a holy symbol of the struggle against British occupation. She later escaped to Anatolia with Peyami and Seyfi.

A quiet, determined, and patriotic nurse, Ayşe served as an active female nationalist combatant, running local field and military hospitals, tirelessly caring for wounded soldiers, and writing letters about her experiences. Her beauty and dedication inspired deep, obsessive love in İhsan and Peyami; she was İhsan's beloved, and her departure to the front lines served as Peyami's emotional and heroic catalyst and a central figure in his motivation during the Sakarya campaign. İhsan desperately wished to protect her from his terrifying experiences. Ayşe was tragically killed by shellfire while bandaging a soldier; subsequently, Peyami's files noted she could not be traced in active mobile corps hospitals.","In Halide Edib Adıvar's foundational novel *Ateşten Gömlek* (The Shirt of Flame), Ayşe emerges not merely as a character but as the most profound embodiment of the nascent Turkish nation itself during its War of Independence. Her personal tragedy—the brutal murder of her husband and child by occupying forces in İzmir—is the quintessential symbol of the national humiliation and devastation inflicted upon the Ottoman people post-World War I. This immediate, devastating blow transforms her individual grief into a collective wound, making her a personification of a nation suffering under occupation. Ayşe represents the pure, unblemished spirit of Anatolia, rising from the ashes of personal loss to embrace the consuming fire of the national struggle, thereby embodying the awakening and defiant spirit of a people determined to reclaim their sovereignty.

Narratively, Ayşe's arc serves as the moral compass and emotional core around which the entire struggle revolves. Her transition from a grieving widow to an active, tireless nurse on the front lines in Anatolia is the novel's clearest articulation of the call to action, demonstrating the ultimate self-sacrifice required for national survival. She is not just a participant but an inspirational figure for the male protagonists, her unwavering dedication and moral clarity providing purpose and legitimacy to their fight. Her eventual death on the battlefield, wounded while aiding others, is not a tragedy of defeat but a profound sanctification of the cause. Ayşe's ultimate sacrifice solidifies the ""shirt of flame"" metaphor, illustrating that the path to independence is paved with immense suffering and the ultimate offering of its purest adherents, thus cementing the war as a righteous and necessary crucible for the rebirth of a sovereign Turkish state."
Kezban,Turk,Nationalist,"Gitmicam, gitmicam! Tüfeng atamam mı, elin şehrinden karılar gelir de ben gelip bir iş tutamam mı, diyordu. | Babasını öldüren ve kendini aç, çıplak bırakan gâvurlarla artık o da dövüşmek istiyordu. | Kezban'ı Mehmet Çavuş belinden yakalayıp ıssız ovalara kaçtığı karanlık geceden sonra onları bir daha gördüm mü? | O küçük Kezban'dan haber aldınız mı? Zavallı çocuk acaba ne oldu?",5,"Kezban is a young, poor, green-eyed orphaned village girl who is deeply infatuated with Commander İhsan. She desperately begs to join the nationalist fighters to avenge her father. She was abducted by Mehmet Çavuş and is discussed as having vanished into the darkness. Ayşe and İhsan inquire about her, but her fate remains unknown.","Kezban, though a secondary character, carries immense symbolic weight in Halide Edib's *Ateşten Gömlek*, embodying the devastating complexities and internal divisions wrought by the occupation and the ensuing national struggle. Initially presented as a Greek servant within a Turkish household, her trajectory meticulously mirrors the fracturing of inter-communal harmony under the pressures of foreign invasion. Her eventual shift in allegiance to the occupying Greek forces, driven by a mixture of ethnic loyalty and perhaps pragmatic self-preservation, positions her as the tragic embodiment of the ""other"" within the Anatolian landscape. She represents the heartbreaking reality that not all inhabitants of Anatolia would or could align with the burgeoning Turkish national cause, becoming a potent symbol of the internecine conflict and the painful betrayals that characterize wars of independence.

Narratively, Kezban's arc serves a crucial function beyond mere antagonism; it provides a stark counterpoint to the unwavering resolve of protagonist Ayşe and her comrades. Her actions, culminating in a betrayal that directly imperils the Turkish nationalists, underscore the very real and immediate threats posed not only by external invaders but also by the internal ruptures within society. This narrative trajectory vividly illustrates the perilous environment of the independence struggle, where trust was a luxury and hidden allegiances could prove fatal. Ultimately, Kezban’s fate, often left ambiguous but implied to be tragic or marginalized, represents the crushing human cost of the conflict on individuals caught between irreconcilable national aspirations. Her story is a poignant reminder that the ""shirt of flame"" burned not just the invaders, but also the fragile fabric of communities, leaving behind a landscape irrevocably altered by division and loss."
Binbaşı Cemal,Turk,Nationalist,"Cemal, annemin amcasının oğludur. Harbi Umumî'de zâbitti. Dünyayı dolaştı. | İzmir'in işgalini evvelâ Cemal haber aldı. Şayanı hayret bir metanet gösteriyordu. İki gün namütenahi propaganda cemiyetlerine devam etti | Cemal başta olarak on zâbit ceplerinde yüzer lira ile meçhule, ölüme gittiler. | Cemal de İzmir'den Adapazarı'na gelmiş diyorlar. | Ayşe'nin, Binbaşı Cemal'in kardeşi olduğunu, İngilizlerden kaçtığını söylemek mecburiyetinde kaldık. | Hatta kardeşi Cemal'in yaralarından, harb menakıbından ihtilâl sergüzeştlerinden bahsederken sesinde titreyen kardeşten ziyâde kadın gururu benden de bahsederken hâsıl olsun. | Cemal nerede? --- Burada, akşamları Tadia'da beraber yemek yiyoruz. | Karahisar'da olan Cemal ne zaman Ankara'ya gelmiş ve ne zaman Ayşe'yi getirmişti | Cemal hıçkırıyor ve beni kolları arasında sıkıyor | Cemal isminde şehit olan bir dayızadesi var.",4,"Binbaşı Cemal, Peyami's cousin and Ayşe's brother, was also a close military comrade of İhsan. A passionate, battle-hardened World War I veteran and nationalist officer, serving as a regiment commander, he strongly supported the national movement. Deeply affected by the occupation of Izmir, he tirelessly worked in nationalist propaganda societies. He left Istanbul for Anatolia with his companions to join the fight, arriving in Adapazarı from Izmir to participate in the resistance. Having escaped Greek imprisonment, he sought to join Nationalist forces; at one point, he was a Turkish military major located in Eskişehir, whom the group planned to meet. Ayşe proudly spoke of his battle wounds and revolutionary stories. Cheerful and energetic, his jokes inadvertently provoked İhsan's romantic anxieties. He participated in the Karadağ offensive and was devastated by the deaths of Ayşe and İhsan. Cemal was martyred in the war, his name found in the records.","Binbaşı Cemal, in Halide Edib's *Ateşten Gömlek*, serves as a crucial symbolic and narrative counterpoint to the fervent idealism and self-sacrificing nationalism embodied by characters like İhsan and Ayşe. Initially encountered in occupied Istanbul, Cemal epitomizes the intellectual despair, strategic caution, and even pragmatic defeatism prevalent among certain segments of the Ottoman military and elite. He represents those who are acutely aware of the existential threat of the occupation but are either paralyzed by its enormity or unwilling to embrace the radical, often seemingly futile, path of armed resistance. His initial lack of a clear, fiery stance underscores the fragmented psyche of a nation grappling with humiliation, reflecting the period's widespread ambivalence and the difficult transition from a venerable empire to a struggling republic, before the unifying call of national independence truly coalesced.

As the narrative shifts to Anatolia and the burgeoning War of Independence, Cemal's presence continues to provide a vital perspective. He is not a convert to zealous nationalism but rather a figure who, while participating in the struggle, retains a degree of skepticism, a practical eye for the immense challenges, and a grounding in the less romantic realities of warfare. Narratively, he often functions to highlight the idealism of the main protagonists by contrast, offering a more cynical or measured voice that questions the emotional excesses or potential futility of their sacrifices. Symbolically, his arc – which lacks the heroic martyrdom of others – represents the endurance of the Turkish people beyond individual acts of heroism. He embodies the less celebrated, yet equally essential, pragmatism and resilience needed for survival in a long, arduous struggle. Cemal thus illustrates that the ""shirt of flame"" was not worn by only the passionate few, but also by those who carried its burden with a more resigned, yet ultimately enduring, sense of duty, signifying the diverse and complex motivations that fueled the national struggle."
Yüzbaşı Seyfi,Turk,Nationalist,"Seyfi isminde ateşli bir yüzbaşı hâlâ harbi kazanacağımızı iddia ediyor, hep Çanakkale'nin ve Çöl'ün harikulâde kahramanlıklarını anlatıyordu. | Biz İzmir'i almaya size yemin ettikti, bakın İstanbul'u bile kaybediyoruz... | Seyfi şikâyet etti, bana: — Mukavemet bunlarla olmaz. Yalnız ordu ile olur, diyordu. | Yalnız İstanbul'dan beraber geldiğimiz Seyfi şehit oldu.",4,"Yüzbaşı Seyfi is an ardent Turkish Captain, also described as a young Lieutenant. At the Meserret Café, he passionately believed the war could still be won. Traveling from Istanbul with the main characters, he assisted Ayşe in finding a safe house in Üsküdar and planned their escape to Anatolia. He was skeptical of irregular nationalist militias, insisting that resistance could only succeed with a regular army. He was killed in action.","Yüzbaşı Seyfi, despite his relatively brief appearance in Halide Edib's *Ateşten Gömlek*, serves a profoundly significant symbolic and narrative function, primarily embodying the national struggle's immediate and brutal cost. His swift demise during the early, chaotic days of the Smyrna (Izmir) occupation isn't merely a plot point; it's a searing indictment of the invader's cruelty and a stark representation of the abrupt shattering of peace and normalcy that defined the initial phase of the Turkish War of Independence. As one of the first named patriots to fall, Seyfi instantly becomes a figure of early martyrdom, his sacrifice igniting the fervent nationalist resolve that will animate Ayşe, Ihsan, and Peyami. He is the initial spark in the 'shirt of flame,' a visceral reminder that the fight for liberation demands immediate and ultimate surrender of life.

Beyond his role as a narrative catalyst, Yüzbaşı Seyfi's arc, truncated as it is, resonates throughout the novel as a powerful symbol of the anonymous multitude who laid down their lives for an independent Turkey. He is not given extensive backstory or psychological depth precisely because he represents the ""everyman"" soldier, the foundational sacrifice upon which the edifice of national resistance is built. His memory, invoked by the surviving characters, becomes a constant moral compass and a perpetual reminder of the immense stakes. Seyfi's ultimate narrative purpose is thus to concretize the abstract notion of ""sacrifice"" for the nation, transforming it from a political ideal into a deeply personal, heartbreaking reality that fuels the relentless, burning resolve of the characters and, by extension, the nation itself as it rises against the occupation."
Ahmet Rıfkı,Turk,Nationalist,"Ahmed Rıfkı, bu Anadolu yollarında gördüğüm en güzel, en billûr yürekli çocuk. O da genç gözlerini kapayıncaya kadar Ayşe'nin en hakikî İzmir askerlerindendi. | Fakat burada Ahmed Rıfkı'nın kuvvetleri yaşamış olduğunu biliyor ve Ahmed Rıfkı'nın hayatı etrafında bütün bu havalide toplanan rivayetleri, o da öğrenmiş. | O sarı oğlan, Mülâzım Ahmed Rıfkı neden öldü? | Ah, şimdi zavallı Ahmed Rıfkı'yı nasıl hatırladım. | Ahmed Rıfkı. Tanıdın değil mi? Ona Bolşevik derlerdi.",4,"Ahmet Rıfkı was a noble, pure-hearted, fair-complexioned, blond nationalist lieutenant, known as the 'Bolshevik', who led a Laz detachment and defended Ayşe's party with extreme bravery. He was tragically killed in a skirmish by Circassians near Hendek, dying with a red wound on his chest. His past presence and legends are well-known in the Sarılar village region; Kezban believes he died because of Ayşe, who also remembers him.","Ahmet Rıfkı, the central narrator and a key figure in Halide Edib's *Ateşten Gömlek*, serves as a profound symbol for the Turkish intellectual grappling with the existential crisis of occupation and the brutal necessity of the national struggle. His arc represents the painful journey from a sensitive, educated individual, perhaps initially inclined towards introspective thought and peaceful pursuits, to a participant scarred both physically and psychologically by the fight for independence. Rıfkı embodies the nation's conscience, its capacity for moral reflection amidst chaos, and the immense personal cost exacted by war. His lost arm, a stark physical manifestation of sacrifice, symbolizes the deep and enduring wounds inflicted upon the Turkish body politic, yet also the grim determination to reclaim its sovereignty, even if it means sacrificing a part of itself. Through his eyes, Edib explores the psychological toll of war, demonstrating how even the most patriotic struggle leaves indelible marks on the individual soul and collective memory.

Narratively, Ahmet Rıfkı's first-person perspective is crucial, offering a deeply subjective and often fragmented account that mirrors the traumatic experience of the nation itself. His role as a witness, observing the fervent patriotism of characters like İhsan and Ayşe while internally wrestling with the horrors he encounters, provides a critical lens through which the reader understands the moral complexities of the independence movement. Rıfkı's melancholic and often feverish narration, delivered from his hospital bed, underscores the blurring lines between reality and nightmare that define periods of intense conflict. His ultimate survival, albeit profoundly altered, encapsulates the resilience of the Turkish people, their capacity to endure unimaginable suffering for the sake of national freedom. His arc suggests that while victory is essential, it comes at a staggering human price, leaving a generation forever changed by the ""shirt of flame"" they were forced to don."
Mehmet Çavuş,Turk,Nationalist,"Onda bütün gâvurların, Türk'ün canına kast ettiklerine dair kazılmaz bir kanaat vardı. Bir de Bulgarları yegâne imtisâle lâyık bilirdi. | Mehmet Çavuş'la uzun bir münakaşadan sonra ceb-hâneyi Sarılar Köyü'nün arkasındaki ağıla yığmaya karar verdik. | Mehmet Çavuş'un da Türk-Çerkes karışık, hilâfet ordusu namına icra-yı şekavet eden Hamza Bey çetesine iltihak ettiği söyleniyor.",4,"Mehmet Çavuş is a battle-hardened Macedonian veteran and a sergeant in the Anatolian irregular rebel forces. He trains Peyami in weaponry and accompanies him on a mission. He falls obsessively in love with Kezban, growing increasingly rebellious and dangerous. He joined the Caliphate-supporting gang of Hamza Bey, orchestrated the ambush against İhsan, and was eventually executed.","Mehmet Çavuş emerges in Halide Edib's *Ateşten Gömlek* not as a figure of intellectual prowess or political leadership, but as the enduring, steadfast embodiment of the Anatolian heartland and the common Turkish soldier. Symbolically, he represents the vast, uneducated, yet profoundly patriotic populace who formed the bedrock of the national resistance against the occupation. His simplicity, unwavering loyalty, and practical understanding of duty stand in stark contrast to the often tormented internal conflicts of characters like Ayşe and İhsan. Mehmet Çavuş is the ""people"" personified – a man whose connection to the land and unshakeable commitment to defending it against foreign invaders transcends ideology, rooted instead in a primal, pure love of homeland. He serves a crucial narrative function by grounding the intellectual and emotional turmoil of the novel's protagonists in the raw, visceral reality of the front lines, reminding the reader that the national struggle was waged not just by a few enlightened leaders, but by the collective will and sacrifice of ordinary Turks.

Mehmet Çavuş's narrative arc, though outwardly modest, is profoundly significant in illustrating the nature of the national struggle and the impact of the occupation. From his initial portrayal as a loyal, seasoned veteran ready to fight, he embodies the steadfast endurance required to resist overwhelming odds. His continued presence, offering simple wisdom and unwavering support, underscores the resilience of the common people. Ultimately, his death in battle represents the ultimate sacrifice demanded by the ""shirt of fire""—the severe cost of national liberation. His demise elevates the ordinary soldier's martyrdom, suggesting that the new nation would be forged not just through strategic victories, but through the blood and sacrifice of countless humble individuals like him. Thus, Mehmet Çavuş's journey from loyal retainer to fallen hero narratively solidifies the idea that the national struggle was a collective burden, borne most heavily by those who, with unyielding spirit and pure hearts, laid down their lives for an independent Turkey."
Zihni Efendi,Turk,Nationalist,"Benim gideceğim şubeden Zihni Efendi isminde zayıf, Rumeli telaffuzlu, çekik gözlü çevik ve mert bir genç mülazım var.",4,"Zihni Efendi is a slender, agile lieutenant with a Rumelian accent who shares a tent and converses extensively with Peyami.","Zihni Efendi, though not a participant in the direct combat of the Turkish War of Independence, serves as a profoundly significant narrative and symbolic anchor in Halide Edib's *Ateşten Gömlek*. As the compassionate doctor who tends to İhsan in the hospital, Zihni Efendi embodies the quiet, intellectual witness to the national struggle. His primary narrative function is to establish the meta-narrative frame: it is he who discovers İhsan's fragmented, feverish memoirs and decides to compile them, thus granting the reader access to the raw, visceral experience of the war. In this role, Zihni is more than just a literary device; he represents the nascent nation's imperative to document, remember, and make sense of its own traumatic birth. He is the custodian of the story, legitimizing the subjective, often harrowing accounts of those on the front lines and ensuring their sacrifices and suffering are etched into the collective consciousness, not merely forgotten as individual tragedies.

Symbolically, Zihni Efendi’s arc—or rather, his steady, observing presence—represents the intellectual and healing dimension of the national struggle that must follow the armed conflict. While characters like Ayşe and Peyami embody the passionate, self-sacrificing fervor of direct resistance against the occupation, Zihni signifies the critical task of post-conflict reconstruction: the processing of trauma, the consolidation of memory, and the foundation of a shared historical narrative for the new Republic. He is the voice of sober reflection amidst the chaos, standing for the enduring spirit of Turkish intellect and resilience that, even when not directly fighting, works to mend the nation's physical and psychological wounds. His act of preserving İhsan's story underscores the idea that victory is not merely won on the battlefield, but also in the ability to understand, articulate, and pass down the harrowing journey of national liberation to future generations."
Peyami'nin Annesi,Turk,Apolitical/unclear,"Annem, İzmirli zengin bir ailenin İstanbul'da büyümüş bir kızıdır; hâlâ çiftliklerinden para gelir. | Annemin gözleri kırmızı, karşısında İhsan, ölü bekler gibi oturuyorlardı. | serbest serbest konuşuyor, bir daha kan sergüzeştine milleti atacak hiçbir şeye taraftar olmadığını, ihtiyarlığında evi ve şahsı etrafında velvele istemediğini söylüyordu. | Annemin öyle bir hâli vardı ki, 'Bütün felâketlere siz sebep oldunuz, sizi sivri kafalı gençler!' diyor gibiydi.",3,"Peyami'nin Annesi is a wealthy, Europeanized woman living in Şişli who hosts high-society gatherings. She initially opposed Peyami's involvement in the struggle. She felt deeply for Cemal and Ayşe, warmly welcoming Ayşe into her home, but later pushed Ayşe to move out due to fears of British surveillance and Peyami's potential arrest. She cared for Peyami during his severe illness, blaming the younger generation's political actions for the misfortunes.",Her exact narrative function cannot be determined from the provided data.
